,Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
0,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,256,FALSE,1.56,16,5.28,3207.60,80,160.38
1,Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,SSD,1024,TRUE,1.45,14,6.01,2568.40,80,179.79
2,Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.34,14,6.56,2050.80,80,143.56
3,Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,SSD,4096,TRUE,1.18,13.3,4.62,2477.59,80,173.43
4,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,1024,TRUE,1.31,14,4.81,2626.40,80,183.85
5,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,FALSE,3.34,17.3,4.35,3351.60,80,234.61
6,Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,1024,TRUE,1.11,13.3,4.32,4366.40,80,305.65
7,Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,TRUE,1.29,13.3,6.22,2572.80,80,128.64
8,Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,4096,FALSE,1.4,13.3,5.05,2511.60,80,125.58
9,Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,FALSE,1.15,13.3,5.13,2452.80,80,171.7
10,Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,SSD,256,TRUE,1.06,14,5.4,1821.60,80,109.3
11,Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,TRUE,2.47,15.6,3.66,1656.40,80,99.38
12,Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,SSD,2048,TRUE,1.6,16,4.64,2158.80,80,129.53
13,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,512,TRUE,1.34,14,6.69,2273.20,80,113.66
14,Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,SSD,1024,FALSE,1.39,14,5.44,2466.40,80,172.65
15,Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,2048,TRUE,1.68,16,5.18,2522.80,80,126.14
16,Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,SSD,2048,FALSE,2.89,17.3,4.19,1952.80,80,117.17
17,Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,2048,FALSE,2.89,17.3,4.47,2638.80,80,184.72
18,Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,2048,TRUE,2.27,15.6,5.28,2106.80,80,105.34
19,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,SSD,512,TRUE,1.95,16,2.58,1855.20,80,92.76
20,Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,1024,FALSE,3.17,17.3,3.67,2684.40,80,161.06
21,Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,TRUE,1.72,16,2.54,3923.60,80,196.18
22,Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,3.01,18.4,6.2,2650.80,80,132.54
23,Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,SSD,1024,TRUE,1.16,14,3.54,2154.40,80,150.81
24,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,SSD,4096,FALSE,1.02,14,6.77,2957.60,80,147.88
25,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,2048,TRUE,2.58,17.3,5.17,1822.80,80,109.37
26,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,512,FALSE,1.53,15.6,2.11,3249.20,80,194.95
27,Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,SSD,4096,FALSE,1.94,15.6,7,2291.60,80,160.41
